maintenance_station_id,maintenance_spots,maintenance_charging_units,node_index
1,10.0,10.0:5;25.0:5,2552
2,10.0,10.0:5;25.0:5,3696
3,10.0,10.0:5;25.0:5,1625
4,10.0,10.0:5;25.0:5,416
5,10.0,10.0:5;25.0:5,2442
6,10.0,10.0:5;25.0:5,2606
7,10.0,10.0:5;25.0:5,2467
8,10.0,10.0:5;25.0:5,838
9,10.0,10.0:5;25.0:5,8
10,10.0,10.0:5;25.0:5,4380
11,10.0,10.0:5;25.0:5,1346
12,10.0,10.0:5;25.0:5,3947
13,10.0,10.0:5;25.0:5,1730
14,10.0,10.0:5;25.0:5,3900
15,10.0,10.0:5;25.0:5,753
16,10.0,10.0:5;25.0:5,559
17,10.0,10.0:5;25.0:5,2672
18,10.0,10.0:5;25.0:5,3239
19,10.0,10.0:5;25.0:5,812
20,10.0,10.0:5;25.0:5,4285
21,10.0,10.0:5;25.0:5,1423
22,10.0,10.0:5;25.0:5,4232
23,10.0,10.0:5;25.0:5,3553
24,10.0,10.0:5;25.0:5,2894
25,10.0,10.0:5;25.0:5,3259
26,10.0,10.0:5;25.0:5,4202
27,10.0,10.0:5;25.0:5,2767
28,10.0,10.0:5;25.0:5,240
29,10.0,10.0:5;25.0:5,1266
30,10.0,10.0:5;25.0:5,4074
31,10.0,10.0:5;25.0:5,1746
32,10.0,10.0:5;25.0:5,2659
33,10.0,10.0:5;25.0:5,3153
34,10.0,10.0:5;25.0:5,2046
35,10.0,10.0:5;25.0:5,1927
36,10.0,10.0:5;25.0:5,2201
37,10.0,10.0:5;25.0:5,2362
38,10.0,10.0:5;25.0:5,604
39,10.0,10.0:5;25.0:5,913
40,10.0,10.0:5;25.0:5,2332
41,10.0,10.0:5;25.0:5,2789
42,10.0,10.0:5;25.0:5,1514
